ID;nr_wyrobu;nazwa_wyrobu;ilosc_na_zmiane_ke
443;72313,10;Mini Adventskal. Lindor;10000
444;76367,00;EX SE,FI,DK,NO.GB,Cal.Lindor;11104
445;77177,00;EX IT Lindor Milk Ornaments;336000
446;76354,10;EX DE Lindor Mini Adv. Calendar;10000
447;72913,00;EX US Holiday Bear Calendar-rentgen;10780
448;76377,10;EX UK Merry Christm.Calendar;11000
449;78621,10;Weih.-Markt Kal.;11000
450;70831,00;Exxon Mobil Mini Tisch AK;7000
451;920885,10;Z VP Weih.-Markt Kal. 78621;11000
452;78627,10;EX DE Xmas Market Calendar;11000
453;922483,00;Z VP Teddy Gesch.Tasche 72829;8640
454;72829,00;Teddy Geschenktasche;8640
455;70885,00;Black-White Tischkal.;7000
456;70947,00;Weihnachtskugel Tischkal.;7000
457;70291,00;Mini Tisch Kalender W-Zauber;7000
458;70297,00;Mini Table Calender;7000
459;920648,00;Z VP Mini Tisch Kalender W-Zauber;7000
460;75541,00;SchiebetÑfelchen;9840
461;76387,00;EX DE Teddy Bag;8640
462;72847,10;Mini Tisch Kal. Tanne;11000
463;921925,00;Z VP BlÑtterkrokant 70435;9000
464;70435,00;BlÑtterkrokant C+C 450 g;9000
465;72847,00;Mini Tisch Kal. Tanne;7000
466;70342,00;EX UK Lindor Snowf.Double Milk;172689
467;76377,00;EX UK Merry Christm.Calendar;7000
468;921087,00;Z VP Fr. Fest Kal. 70551;7000
469;70551,00;Frohes Fest Adventskalender;7000
470;70557,00;EX GE Merry Christmas Calendar;7000
471;70757,00;Fr. Fest AK Main Post;7000
472;70767,00;Frohes Fest AK Blume;7000
473;70833,00;Tchibo Frohes Fest AK;7000
474;738987,00;Z VP Nougat Figuren 71151;9000
475;71151,00;Nougat-Figuren C+C;9000
476;72849,00;Mini-Kissenp.X-Mas braun;9000
477;71189,00;Hello Xmas To Go Cup;7650
478;922189,00;Z VP Hello Xmas To Go Cup 71189;7650
479;71171,00;Lindor-Baumbehang C+C;9000
480;738988,00;Z VP CRESTA BBH 71211;9000
481;72247,00;Hello AK Emoti Blau;6500
482;72249,00;Hello AK Emoti Rosa;6500
483;71211,00;Cresta BBH C+C;9000
484;72853,00;Mini Kissenp. X-Mas creme;9000
485;72939,00;Santa Geschenk GrÅn;9000
486;72943,00;Santa Geschenk Br.;9000
487;72845,00;Mini Tisch Kal. Tanne EV;7000
